sector_clean,deal_year,total_funding_usd,prev_year_funding,yoy_growth_pct
Mobile Accessories Online Store,2015,3000000.0,,
Mobile Advertising Platform,2015,100000000.0,,
Mobile App Based Loan Disbursement Platform,2015,1500000.0,,
Mobile App Development,2015,12000000.0,,
Mobile App Testing Platform,2015,1200000.0,,
Mobile Application Developer,2015,1500000.0,,
Mobile Based Pos Solution,2015,25000000.0,,
Mobile Car Servicing Appointment App,2015,500000.0,,
Mobile Chat Based Concierge Service,2015,1600000.0,,
Mobile Fitness App,2015,1000000.0,,
Mobile Fitness App,,1000000.0,1000000.0,0.0
Mobile Fitness Marketplace,2015,1500000.0,,
Mobile Growth Hacking Nplatform,2015,500000.0,,
Mobile Laundry Cleaning Service,2015,2000000.0,,
Mobile Learning Solutions,2015,300000.0,,
Mobile Marketing Automation Platform,2015,4250000.0,,
Mobile Messaging Assistant App,2015,2500000.0,,
Mobile Only Shopping Assistant,2015,1000000.0,,
Mobile Point Of Sale Solutions,2015,2500000.0,,
Mobile Services Marketplace,2015,25000000.0,,
Mobile Social Network,2015,250000.0,,
Mobile Wallet,2015,6600000.0,,
Mobile-Only Tasks Marketplace,2015,15000000.0,,
Modular Furnishings Marketplace,2015,3500000.0,,
Movie-On-Demand Platform,2015,350000.0,,
Multi-Sport Program For Preschoolers,2015,1500000.0,,
Multilingual Test Preparation Platform,2015,770000.0,,
Music Streaming App,2015,100000000.0,,
Music Streaming Mobile App,2015,1500000.0,,
Mutual Fund Investing Platform,2015,2500000.0,,
Nbfc,2018,27799000.0,,
New Curation Mobile App,2015,150000.0,,
News Aggregator Mobile App,2015,2020000000.0,,
Nightlife Discovery Mobile App,2015,150000.0,,
Non Profit Organization To Alleviate Poverty,2015,315000.0,,
Numerical Computing & Data Science Platform,2015,600000.0,,
Off-Grid Solar Power,2015,40000000.0,,
On Demand Beauty Services Platform,2015,1500000.0,,
On Demand Cleaning & Fixing Services,2015,1500000.0,,
On Demand Laundry Service Platform,2015,1500000.0,,
On Demand Laundry Services App,2015,110000.0,,
On Demand Mobile App Developer,2015,100000.0,,
On-Demand App Based Professional Service Provider,2015,1000000.0,,
On-Demand Beauty Service,2015,400000.0,,
On-Demand Beauty Services,2015,1500000.0,,
On-Demand Business Messaging,2015,200000.0,,
On-Demand Car Services App,2015,1500000.0,,
On-Demand Delivery Service,2015,310000.0,,
On-Demand Handyman Services,2015,1500000.0,,
On-Demand Home Beauty And Wellness Portal,2015,1500000.0,,
On-Demand Laundry & Dry Cleaning App,2015,1500000.0,,
On-Demand Service Marketplace,2015,2000000.0,,
On-Demand Washing & Dry-Cleaning,2015,100000.0,,
Ondemand Nmobile Handyman Services,2015,1200000.0,,
Online & Mobile Classified Listings,2015,60000000.0,,
